scenario,controller,speed_error,current,switches,feedback,fallback,failures,safety_worst
regeneration,safe_neural_horizon_pwm_h3_thermal,60.08643548428654,1.5300298483363948,30.333333333333332,1.0,0.0,0,0.0
regeneration,safe_neural_horizon_pwm_h4_sparse,59.67360839725495,2.198981349026207,22.666666666666668,0.37222222222222223,9.333333333333334,0,0.0
low_speed,protected_ai_pwm_h1_proxy,23.603655756079785,1.3115468320180048,24.333333333333332,1.0,0.0,0,0.0
low_speed,fcs_mpc_one_step_baseline,22.550281797186802,1.9865917090770553,24.0,1.0,0.0,0,0.0
low_speed,foc_svm_key_baseline,23.536717555637427,1.307369937401861,19.333333333333332,1.0,0.0,0,0.0
low_speed,dtc_hysteresis_proxy,23.47806215333431,1.8105908977067993,39.666666666666664,1.0,1.0,0,0.0
low_speed,dtc_svm_proxy,23.57892407816419,1.4364889507603307,21.0,1.0,0.0,0,0.0
low_speed,deadbeat_current_proxy,23.617847186128056,0.2717581629086255,78.0,1.0,1.0,0,0.0
low_speed,sensorless_adaptive_foc_proxy,23.57294325315803,1.1059439555625983,29.666666666666668,0.13333333333333333,0.0,0,0.0
low_speed,safe_neural_horizon_pwm_h2,23.563505811853748,1.366393787298315,32.666666666666664,1.0,0.0,0,0.0
low_speed,safe_neural_horizon_pwm_h3_thermal,23.540552842958963,1.5531235103607475,29.666666666666668,1.0,0.0,0,0.0
low_speed,safe_neural_horizon_pwm_h4_sparse,23.51499810939946,1.6929445267699341,34.0,0.08333333333333333,0.3333333333333333,0,0.0
zero_speed,protected_ai_pwm_h1_proxy,0.031836387698867784,0.9025565822277782,29.0,0.20000000000000004,0.0,0,0.0
zero_speed,fcs_mpc_one_step_baseline,0.03160539856107996,0.9371699829238901,26.333333333333332,1.0,0.0,0,0.0
zero_speed,foc_svm_key_baseline,0.1343182397024406,1.1235508406742785,10.0,1.0,0.0,0,0.0
zero_speed,dtc_hysteresis_proxy,0.039502012495315465,0.9588541153037816,57.0,1.0,2.6666666666666665,0,0.0
zero_speed,dtc_svm_proxy,0.042674838817888326,0.7885809603985564,50.666666666666664,1.0,0.0,0,0.0
zero_speed,deadbeat_current_proxy,0.06014445173271385,0.27223367986755337,78.0,1.0,1.0,0,0.0
zero_speed,sensorless_adaptive_foc_proxy,0.4036510993455944,0.7049727105935686,36.0,0.13333333333333333,0.0,0,0.0
zero_speed,safe_neural_horizon_pwm_h2,0.10204038909339874,0.7886017156406293,26.333333333333332,0.10000000000000002,0.0,0,0.0
zero_speed,safe_neural_horizon_pwm_h3_thermal,0.06278992403255121,0.6585508583236709,38.0,0.10000000000000002,0.0,0,0.0
zero_speed,safe_neural_horizon_pwm_h4_sparse,0.035663107342673715,0.7626177264001228,34.0,0.08333333333333333,0.0,0,0.0
field_weakening,protected_ai_pwm_h1_proxy,180.7724352390649,1.2725792168476686,24.333333333333332,1.0,0.0,0,0.0
field_weakening,fcs_mpc_one_step_baseline,180.52149602170928,2.430857040430529,7.333333333333333,1.0,0.0,0,0.0
field_weakening,foc_svm_key_baseline,180.60365650378807,1.3919892800364024,24.0,1.0,0.0,0,0.0
field_weakening,dtc_hysteresis_proxy,181.52504535032344,1.4293731734582478,49.666666666666664,1.0,1.0,0,0.0
